Id,Label,movies_credited,degree,weighted_degree
Melissa Roxburgh,Melissa Roxburgh,1,2,2
Sofia Boutella,Sofia Boutella,1,2,2
Fred Willard,Fred Willard,12,21,24
Jeff Garlin,Jeff Garlin,5,10,10
Dana Ivey,Dana Ivey,4,8,8
Noémie Lenoir,Noémie Lenoir,2,4,4
Tzi Ma,Tzi Ma,4,8,8
Liam James,Liam James,3,6,6
Oliver Platt,Oliver Platt,21,41,42
Tom McCarthy,Tom McCarthy,4,6,8
Colin Firth,Colin Firth,19,32,38
Gary Oldman,Gary Oldman,23,40,46
Robin Wright,Robin Wright,13,26,26
Channing Tatum,Channing Tatum,22,42,44
Eddie Redmayne,Eddie Redmayne,7,14,14
Casper Crump,Casper Crump,2,2,4
Kiran Shah,Kiran Shah,1,2,2
Shane Rangi,Shane Rangi,2,4,4
Michael Fassbender,Michael Fassbender,15,28,30
Tye Sheridan,Tye Sheridan,4,8,8
Heath Ledger,Heath Ledger,10,19,20
Morgan Freeman,Morgan Freeman,47,79,94
Delroy Lindo,Delroy Lindo,15,26,30
Jess Harnell,Jess Harnell,2,4,4
Amy Poehler,Amy Poehler,14,25,28
Rainn Wilson,Rainn Wilson,8,14,16
Stephen Colbert,Stephen Colbert,2,4,4
Chloë Grace Moretz,Chloë Grace Moretz,17,31,34
Bai Ling,Bai Ling,6,12,12
Salma Hayek,Salma Hayek,19,36,38
Brendan Fraser,Brendan Fraser,17,34,34
Jet Li,Jet Li,13,21,26
Russell Wong,Russell Wong,3,6,6
Ike Barinholtz,Ike Barinholtz,4,8,8
Robin Atkin Downes,Robin Atkin Downes,3,6,6
Jimmy Bennett,Jimmy Bennett,8,16,16
Steve Carell,Steve Carell,20,36,40
Lara Pulver,Lara Pulver,1,2,2
Noah Taylor,Noah Taylor,6,11,12
Tom Cruise,Tom Cruise,29,53,58
Jeanne Tripplehorn,Jeanne Tripplehorn,5,10,10
Rick Aviles,Rick Aviles,1,2,2
Zakes Mokae,Zakes Mokae,2,4,4
Dennis Quaid,Dennis Quaid,22,40,44
Leo Howard,Leo Howard,2,4,4
Mindy Kaling,Mindy Kaling,3,6,6
Phyllis Smith,Phyllis Smith,2,4,4
Bill Murray,Bill Murray,34,59,68
Garry Shandling,Garry Shandling,5,8,10
Kristen Stewart,Kristen Stewart,20,30,40
Angelina Jolie Pitt,Angelina Jolie Pitt,25,46,50
Sam Riley,Sam Riley,4,8,8
Sharlto Copley,Sharlto Copley,4,8,8
Kodi Smit-McPhee,Kodi Smit-McPhee,4,8,8
Alice Englert,Alice Englert,2,2,4
Bipasha Basu,Bipasha Basu,3,4,6
Tamsin Egerton,Tamsin Egerton,4,6,8
Cary-Hiroyuki Tagawa,Cary-Hiroyuki Tagawa,12,22,24
Jin Akanishi,Jin Akanishi,1,2,2
Keanu Reeves,Keanu Reeves,25,43,50
Hayley Atwell,Hayley Atwell,8,11,16
Jon Hamm,Jon Hamm,9,16,18
Kathy Griffin,Kathy Griffin,1,2,2
Mary Kay Place,Mary Kay Place,5,10,10
Chris Bauer,Chris Bauer,6,12,12
Thomas Robinson,Thomas Robinson,1,2,2
Abraham Benrubi,Abraham Benrubi,3,6,6
Damon Wayans Jr.,Damon Wayans Jr.,4,8,8
Daniel Henney,Daniel Henney,2,4,4
Jack McBrayer,Jack McBrayer,6,12,12
Joe Lo Truglio,Joe Lo Truglio,8,16,16
Sarah Silverman,Sarah Silverman,7,14,14
Eddie Deezen,Eddie Deezen,2,4,4
Peter Scolari,Peter Scolari,1,2,2
Judd Hirsch,Judd Hirsch,4,8,8
Sela Ward,Sela Ward,7,14,14
Vivica A. Fox,Vivica A. Fox,12,24,24
America Ferrera,America Ferrera,8,14,16
Craig Ferguson,Craig Ferguson,3,6,6
Gerard Butler,Gerard Butler,25,47,50
