node,degree,betweenness,eigenvector
Nathan Lane,22,0.0004570684672221492,0.023444314386842063
Radha Mitchell,22,0.0008904764041771678,0.030082709476432226
Charlotte Rampling,22,0.0007995041254496923,0.016723948590184785
Tony Curran,22,0.0002324992171272727,0.017961931604979917
Toby Jones,22,0.00022972696076689793,0.035237290495097946
Sissy Spacek,22,0.0007847561063398606,0.024223444742949258
Cary-Hiroyuki Tagawa,22,0.0005646362227552024,0.01834491548710179
Thomas Kretschmann,22,0.0004548997886304595,0.033232616896511816
Mark Margolis,22,0.0004504395505157275,0.031506962787620246
Kelly Preston,22,0.0005688748663194245,0.022889827521766586
Callum Rennie,22,0.00046869455082257014,0.016001995465987042
Fisher Stevens,22,0.0005600260241195204,0.01695170684487456
Woody Allen,22,0.0012489360829431382,0.01371299422137918
Jennifer Lawrence,22,0.0004964517313070599,0.06321625066064583
Albert Brooks,22,0.0009811884880964814,0.0266840403250435
Bokeem Woodbine,22,0.0004206891088613939,0.01801412380042637
Olivia Williams,22,0.0012347245159410598,0.026012637317072495
Aidan Quinn,22,0.0006830485127749418,0.0256455269496597
Vanessa Redgrave,22,0.00033635080621836173,0.036645072395959176
Ethan Embry,22,0.0006614429491220997,0.024367518302465207
Cheech Marin,21,0.0004930394625824008,0.029554416428771605
Natasha Lyonne,21,0.0003965983432594913,0.023752240766971154
Fred Willard,21,0.000277432941953601,0.022442533626250358
Jet Li,21,0.0016571779759443062,0.040005901002429095
Joan Allen,21,0.0006290565929714806,0.029647850912120542
Adam Goldberg,21,0.0006887378708714779,0.030956787948698977
David Oyelowo,20,0.00025349616540217175,0.034208648015448026
Michael Kelly,20,0.0008690461560321971,0.0397872643470639
Benedict Cumberbatch,20,0.00028359666616875503,0.039703537273149396
Kevin Pollak,20,0.000493892911346442,0.03134367442766825
Frances Fisher,20,0.0006554486171252598,0.020117827323854354
Hope Davis,20,0.00030584097064213924,0.031204468041893037
Cole Hauser,20,0.0006174860547034129,0.030380352795195104
Beverly D'Angelo,20,0.00025240369760969966,0.017893050774599625
Eddie Marsan,20,0.0002940312056968782,0.04243517693672259
LL Cool J,20,0.00029570817239027127,0.026345422456386623
Clea DuVall,20,0.0004037195551632966,0.04813722487946778
Stockard Channing,20,0.0005351525965900805,0.01666865789902278
Colin Salmon,20,0.000501119523726564,0.008148816738725785
Mekhi Phifer,20,0.00038561961499334945,0.020164605672875993
Larry Miller,20,0.0007646444620038353,0.011839256731171002
Treat Williams,20,0.0007089275447190774,0.03344904062823544
Anjelica Huston,20,0.0007191912722962595,0.01505597975744816
Tom Skerritt,20,0.0005439544373411592,0.02071975394294816
Justin Timberlake,20,0.0003454096879229011,0.0159852605201378
Dominic Cooper,20,0.0002524565275592599,0.011658870858470137
Dylan Baker,20,0.0003979149868621544,0.03087051001389062
Shirley Henderson,20,0.00042577444776376825,0.030784640699190745
Hayden Christensen,20,0.0005425190244220866,0.02446760702505098
Tim Blake Nelson,20,0.0004554449431760026,0.01740857620653989
Janeane Garofalo,20,0.0006118140081302364,0.04390155812471246
Rufus Sewell,20,0.0002486758018280775,0.044498483796676654
Michael Wincott,19,0.0004008644653397352,0.033532738063941546
Mako,19,0.0009711858870171653,0.0165978770437481
Faizon Love,19,0.0003425200141549537,0.013998138144296365
Miranda Richardson,19,0.0003206051280762248,0.03377016173723334
Heath Ledger,19,0.00030508662139203623,0.042515911217041166
Romany Malco,19,0.00027385500833909036,0.03505656078180766
Common,19,0.0005761217232481595,0.06290772886200953
Joe Morton,19,0.0001731129014952844,0.021603954163820886
John Michael Higgins,19,0.0005561450699264914,0.03951008025288432
Dave Chappelle,19,0.0003147944071064826,0.022109260288205645
Harold Perrineau,19,0.00023299140024874386,0.02258398612093887
Jon Gries,18,0.00023000053288842065,0.018401679436209278
Jake Busey,18,0.0002829053382673832,0.011847213258648863
Robert Forster,18,0.0006219042062269338,0.016347014792412146
Noah Emmerich,18,0.00017934303767094432,0.02291699358951908
Colm Feore,18,0.000238927238436019,0.016587009966654007
Frances Conroy,18,0.00020136012530943452,0.03463943747811395
Bob Gunton,18,0.00021925225551767112,0.022154293581665947
Christoph Waltz,18,0.00016091988365678293,0.031034537470101417
Tom Arnold,18,0.000279120172364292,0.018008709995356496
Alan Rickman,18,0.00043180238544395487,0.07295248853085937
Eddie Griffin,18,0.0006257073629635714,0.01060395939642707
Tom Berenger,18,0.00029799375809770503,0.02697604417773201
Vanessa Williams,18,0.0002436550289192208,0.013537112322743216
Jacob Vargas,18,0.0003349780508440929,0.007104347068532757
Samantha Morton,18,0.00045604476621276214,0.009501916848790948
Rupert Everett,18,0.00035728229051836403,0.01948555317285418
Eric Idle,18,0.0003462596419636818,0.01190310810492684
Harry Lennix,18,0.00025620857210567177,0.008338022693441485
Eric Stoltz,18,0.0004130592379269238,0.031542501807518254
Hal Holbrook,18,0.00046363888925180576,0.019193110346887594
Philip Baker Hall,18,0.000496052574780393,0.032158159012451344
Vincent Pastore,18,0.00034154255410128045,0.00991492858346075
Ben Mendelsohn,18,0.0002462633024147006,0.05227891202541539
James Frain,18,0.00046962147478519134,0.041123812280827066
Desmond Llewelyn,18,0.00039188394628882626,0.004499946991899971
Tony Goldwyn,18,0.00032485365331261327,0.04530178969784732
Stephen Rea,18,0.00036223290273473455,0.011436167832625157
Billy Crudup,18,0.0005900267279325168,0.022307391456375628
John Ratzenberger,18,0.00023566472717282498,0.028906545138313255
Jim Belushi,18,0.0004354468682081322,0.01920172143160492
Julian Richings,18,0.0005607309648890123,0.011189622814227506
