actor,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years
Bradley Whitford,5,6.44,7.0,81827.4,277172.0,9,18.0
Brian Doyle-Murray,5,5.459999999999999,7.4,40897.4,81888.0,6,27.0
Fred Gwynne,4,6.875,7.5,53617.5,82743.0,8,8.0
Gretchen Mol,7,6.614285714285714,7.8,60907.142857142855,237872.0,9,11.0
Jon Gries,9,6.2333333333333325,7.3,41225.555555555555,161448.0,10,21.0
Keith Hudson,1,7.0,7.0,71708.0,71708.0,4,0.0
Andy Dick,2,5.65,6.0,72711.5,122347.0,4,4.0
Gulshan Grover,1,7.8,7.8,5639.0,5639.0,3,0.0
Eric Peterson,1,7.8,7.8,5639.0,5639.0,3,0.0
Nandita Das,1,7.8,7.8,5639.0,5639.0,3,0.0
Charlie Korsmo,2,6.3,6.5,42852.0,47819.0,6,8.0
Faye Dunaway,8,6.45,8.1,37052.875,103493.0,7,26.0
Alissa Dean,1,6.4,6.4,22447.0,22447.0,3,0.0
Adam Garcia,4,4.9750000000000005,6.4,34400.25,90539.0,8,4.0
Natalya Bondarchuk,1,8.1,8.1,54057.0,54057.0,3,0.0
Donatas Banionis,1,8.1,8.1,54057.0,54057.0,3,0.0
Anatoliy Solonitsyn,1,8.1,8.1,54057.0,54057.0,3,0.0
George Cole,1,5.8,5.8,11913.0,11913.0,4,0.0
Bronagh Gallagher,2,6.05,6.3,12570.0,13227.0,6,16.0
Crystal Lowe,5,6.32,7.7,96272.6,218771.0,6,11.0
Julia Jones,1,4.7,4.7,45729.0,45729.0,5,0.0
Billy Blair,1,4.7,4.7,45729.0,45729.0,5,0.0
Randall 'Tex' Cobb,2,6.35,6.8,130095.0,220392.0,6,11.0
Swoosie Kurtz,4,6.949999999999999,7.7,82975.25,220392.0,4,9.0
Amy Ryan,3,7.033333333333332,7.6,60655.666666666664,178118.0,5,7.0
Olympia Dukakis,2,7.3,7.3,16405.5,30230.0,5,21.0
Jacqueline Bisset,3,4.3999999999999995,7.2,5426.0,14580.0,7,23.0
Luke Grimes,4,5.625,6.5,122626.25,238671.0,7,9.0
Jenny McCarthy,3,4.8999999999999995,6.1,40791.333333333336,111526.0,5,7.0
Pamela Anderson,1,5.5,5.5,111526.0,111526.0,1,0.0
Regina Hall,7,5.457142857142857,6.6,41615.71428571428,111526.0,3,11.0
Candice Bergen,3,6.566666666666667,8.1,129399.0,171726.0,7,27.0
Heather Burns,2,6.2,6.2,69285.5,137377.0,4,9.0
Wendy Raquel Robinson,1,6.2,6.2,137377.0,137377.0,4,0.0
Anita Briem,2,5.449999999999999,5.8,49174.5,85323.0,10,2.0
Brad Renfro,4,6.300000000000001,7.0,23775.75,45798.0,5,14.0
Noel Gugliemi,7,6.385714285714286,7.4,62007.71428571428,184795.0,9,9.0
Patrick Bergin,2,5.9,6.9,47381.0,81442.0,4,7.0
Jane Fonda,5,6.26,7.4,29805.8,54242.0,6,46.0
Robin Sachs,1,7.3,7.3,123558.0,123558.0,3,0.0
Enrico Colantoni,4,6.6499999999999995,8.4,60533.5,123558.0,8,3.0
Eric Jacobson,1,7.1,7.1,75176.0,75176.0,4,0.0
Steve Whitmire,2,7.4,7.7,54513.0,75176.0,6,19.0
Traci Lords,3,6.433333333333334,7.1,78742.66666666667,191437.0,6,4.0
Robert Ri'chard,4,5.95,7.2,71184.25,94463.0,4,6.0
Bruce Altman,2,6.85,7.2,32895.0,57281.0,3,1.0
Matt Malloy,2,6.9,7.3,34415.5,57281.0,3,5.0
Eric Stoltz,9,6.644444444444444,8.9,206063.11111111112,1324680.0,13,18.0
Kari Wuhrer,3,4.7,5.7,31875.0,73539.0,6,6.0
Izabella Miko,2,5.449999999999999,5.6,48929.0,90539.0,6,1.0
Tyra Banks,2,5.699999999999999,5.8,47458.0,90539.0,4,1.0
Kris Marshall,6,7.233333333333334,7.7,93112.16666666667,318634.0,4,7.0
Madeline Kahn,7,7.314285714285714,8.0,76131.71428571429,211226.0,7,24.0
Ian Richardson,3,7.133333333333333,7.8,90308.0,124765.0,8,4.0
Rod Steiger,5,7.140000000000001,8.4,34472.4,100890.0,8,40.0
Emilio Estefan Jr.,1,5.4,5.4,50148.0,50148.0,5,0.0
Lucille Ball,1,7.2,7.2,5888.0,5888.0,2,0.0
Tom Bosley,2,6.25,7.2,23271.0,40654.0,3,42.0
Nick Zano,2,4.0,4.3,13604.5,17829.0,6,4.0
James Tumminia,1,6.3,6.3,149549.0,149549.0,4,0.0
Joel McHale,4,5.7,6.5,47682.0,87165.0,9,5.0
William Lucking,2,6.699999999999999,7.1,28478.0,32544.0,6,5.0
Vincent Kartheiser,1,5.9,5.9,20688.0,20688.0,3,0.0
Gary Stretch,2,7.1,7.7,72115.0,104301.0,3,8.0
Shea Whigham,5,6.68,7.4,50026.4,104301.0,5,9.0
Demián Bichir,4,6.475,7.2,77475.0,133177.0,6,2.0
Will Beinbrink,1,6.5,6.5,79141.0,79141.0,3,0.0
Valerie Cruz,1,6.5,6.5,79141.0,79141.0,3,0.0
Ben Miller,1,6.1,6.1,114692.0,114692.0,3,0.0
Natalie Imbruglia,1,6.1,6.1,114692.0,114692.0,3,0.0
José Ferrer,3,7.2,8.4,98782.0,192775.0,7,22.0
Robert Clohessy,3,7.133333333333333,7.4,102973.66666666667,125198.0,7,5.0
T.V. Carpio,2,7.4,7.4,91861.5,91863.0,4,0.0
Joe Komara,1,7.3,7.3,152591.0,152591.0,2,0.0
David Belle,2,6.4,7.2,68725.5,81523.0,5,4.0
Alexa PenaVega,12,5.45,6.7,26581.666666666668,84325.0,12,19.0
Keenen Ivory Wayans,2,6.15,7.0,9112.5,15455.0,5,9.0
Obba Babatundé,2,5.7,6.0,34443.5,44130.0,5,12.0
John de Lancie,4,6.2,7.5,35984.5,83786.0,8,12.0
Carter Jenkins,2,5.4,5.4,9649.5,16580.0,5,3.0
Malese Jow,2,5.7,6.0,11222.5,16580.0,8,5.0
Adrien Dorval,1,6.8,6.8,42621.0,42621.0,4,0.0
Costas Mandylor,9,6.077777777777778,6.8,61640.77777777778,142115.0,10,17.0
Nels Lennarson,1,6.8,6.8,42621.0,42621.0,4,0.0
Kristy Swanson,2,5.1,5.3,17826.5,27648.0,5,1.0
Henry Thomas,5,6.62,7.9,87486.4,281842.0,8,28.0
Laz Alonso,7,5.828571428571428,7.3,12649.42857142857,27117.0,9,6.0
Omari Hardwick,5,6.0200000000000005,6.5,7244.8,15697.0,7,4.0
Ye Liu,2,7.35,7.7,22442.0,36455.0,4,3.0
Man Li,1,7.0,7.0,36455.0,36455.0,2,0.0
James With,1,5.4,5.4,48245.0,48245.0,3,0.0
Charlie Yeung,2,5.95,6.5,27072.5,48245.0,4,6.0
Omar Epps,9,6.233333333333333,7.2,26946.222222222223,124941.0,9,7.0
Giovanna Mezzogiorno,1,6.4,6.4,19114.0,19114.0,2,0.0
Unax Ugalde,1,6.4,6.4,19114.0,19114.0,2,0.0
Marcela Mar,1,6.4,6.4,19114.0,19114.0,2,0.0
Céline Sallette,1,8.3,8.3,15762.0,15762.0,4,
Pierre Perrier,2,7.050000000000001,8.3,8386.0,15762.0,4,0.0
Clotilde Hesme,1,8.3,8.3,15762.0,15762.0,4,
Sam Waterston,4,6.3,6.8,12708.25,21212.0,8,20.0
Togo Igawa,1,6.3,6.3,89568.0,89568.0,4,0.0
Tim McInnerny,3,7.1000000000000005,7.5,51529.333333333336,89568.0,7,5.0
Daniel Kaluuya,2,6.949999999999999,7.6,142892.5,196217.0,7,4.0
Clea DuVall,11,6.236363636363635,7.7,107813.27272727272,452465.0,11,14.0
Daniel Roebuck,7,6.228571428571429,7.8,69808.57142857143,213668.0,12,18.0
Martin Kove,6,6.616666666666667,8.6,65399.333333333336,126916.0,9,40.0
Julia Nickson,1,6.4,6.4,117606.0,117606.0,4,0.0
Mel Blanc,1,7.5,7.5,90360.0,90360.0,4,0.0
Dickie Jones,1,7.5,7.5,90360.0,90360.0,4,0.0
Cliff Edwards,1,7.5,7.5,90360.0,90360.0,4,0.0
Isabelle Huppert,6,6.933333333333334,7.9,36080.166666666664,70382.0,9,33.0
Daniel Mays,5,6.28,7.3,51466.8,152247.0,9,7.0
Rob Brown,1,7.3,7.3,73006.0,73006.0,1,0.0
Michael Nouri,3,6.633333333333333,7.3,36308.0,73006.0,4,22.0
Lillian Adams,1,5.1,5.1,46158.0,46158.0,2,0.0
Chelsea Bond,1,5.1,5.1,46158.0,46158.0,2,0.0
Judith Chapman,1,5.1,5.1,46158.0,46158.0,2,0.0
Wilford Brimley,5,7.0,8.2,78519.8,258078.0,8,19.0
Augustus Prew,2,6.55,6.6,125165.5,202967.0,6,3.0
Charlie Tahan,2,6.9,7.3,98723.0,150082.0,3,3.0
Valerie Tian,1,6.5,6.5,47364.0,47364.0,3,0.0
Dax Flame,2,6.95,7.2,282676.5,408302.0,3,0.0
Clarke Peters,2,6.85,7.0,123176.5,203269.0,3,15.0
Dylan Moran,4,7.1000000000000005,8.0,167225.25,395921.0,5,8.0
Julia Sawalha,1,7.0,7.0,140499.0,140499.0,5,0.0
Masi Oka,3,6.733333333333333,7.7,193084.0,270228.0,6,7.0
Geoffrey Holder,2,6.1,6.8,47570.0,74957.0,6,19.0
William Xifaras,1,6.6,6.6,133177.0,133177.0,3,0.0
Richard Burton,4,6.325,7.8,21869.25,43270.0,7,24.0
Roddy McDowall,6,6.55,7.8,18920.166666666668,23546.0,9,41.0
Charice,1,6.5,6.5,74169.0,74169.0,3,0.0
Reggie Lee,3,6.533333333333334,6.6,105206.66666666667,158354.0,6,3.0
Mimi Rogers,2,4.95,6.5,21052.0,30651.0,3,7.0
David Eigenberg,1,6.5,6.5,63677.0,63677.0,4,0.0
Bono,2,7.1,8.4,61147.5,119622.0,3,2.0
Slash,1,5.8,5.8,119622.0,119622.0,1,0.0
Anthony Zerbe,3,6.8999999999999995,7.2,40472.0,74009.0,7,19.0
Robert Davi,5,6.459999999999999,8.0,56993.0,105478.0,9,25.0
Fisher Stevens,11,5.254545454545455,6.5,22453.0,63216.0,14,21.0
Jared Burke,1,7.6,7.6,248123.0,248123.0,3,0.0
Jeremy Crutchley,2,6.8,7.6,155446.5,248123.0,5,3.0
Maggie Cheung,4,7.550000000000001,7.9,86062.0,149414.0,7,2.0
Tony Chiu Wai Leung,5,7.44,7.9,80355.0,149414.0,8,11.0
Debbie Reynolds,4,6.5,8.3,49801.75,150020.0,10,60.0
Anders Holm,2,7.05,7.5,125161.0,247020.0,4,2.0
Randall Park,4,6.025,6.6,118712.0,247020.0,3,4.0
Jed Brophy,4,7.050000000000001,8.0,151783.75,531737.0,10,16.0
Dong-gun Jang,3,6.666666666666667,8.1,20822.333333333332,31943.0,5,6.0
Gavin MacLeod,2,6.55,7.5,1650.0,1742.0,5,0.0
Bob Hastings,1,7.5,7.5,1558.0,1558.0,2,
Dany Boon,4,7.1,7.8,20540.75,30587.0,8,7.0
Evan Jones,1,7.0,7.0,187181.0,187181.0,2,0.0
Youssef Hajdi,1,4.9,4.9,590.0,590.0,4,0.0
Jamel Debbouze,2,6.65,8.4,267426.0,534262.0,5,14.0
Mélissa Theuriau,1,4.9,4.9,590.0,590.0,4,0.0
Bérénice Bejo,2,7.45,8.0,163516.5,190030.0,5,10.0
Julian Sands,8,6.35,7.6,29763.0,93894.0,9,23.0
Lee Evans,2,5.800000000000001,6.4,16224.5,29861.0,6,1.0
Anthony Chau-Sang Wong,2,6.25,7.3,18390.0,29861.0,5,3.0
Mandy Gonzalez,1,6.6,6.6,125198.0,125198.0,3,0.0
J. Smith-Cameron,1,6.6,6.6,125198.0,125198.0,3,0.0
JoBeth Williams,1,6.2,6.2,34809.0,34809.0,1,0.0
William Bassett,3,6.633333333333333,7.2,86336.66666666667,126916.0,6,2.0
William Zabka,2,7.2,7.2,126911.5,126916.0,4,0.0
Annabeth Gish,2,4.6,6.4,32666.5,56646.0,5,2.0
Bruce Campbell,1,6.4,6.4,56646.0,56646.0,3,0.0
Thomas F. Wilson,7,6.242857142857143,8.5,206201.14285714287,732212.0,12,24.0
Jeffrey Weissman,2,7.6,7.8,311782.5,340085.0,4,1.0
Dan Bilzerian,1,7.6,7.6,203963.0,203963.0,5,0.0
Jerry Ferrara,2,7.0,7.6,104506.0,203963.0,6,6.0
Scott Elrod,3,6.566666666666666,7.6,94789.0,203963.0,8,3.0
Rosie O'Donnell,1,7.2,7.2,71754.0,71754.0,3,0.0
Lori Petty,2,6.2,7.2,48272.0,71754.0,5,3.0
Javier Botet,3,7.1000000000000005,7.8,66665.66666666667,134869.0,4,3.0
Marcella Lentz-Pope,1,7.7,7.7,479453.0,479453.0,2,0.0
Dustin Fitzsimons,2,5.1,7.7,240027.5,479453.0,3,2.0
Sachiko Ishida,1,6.4,6.4,132048.0,132048.0,3,0.0
Sabrina Revelle,1,6.4,6.4,132048.0,132048.0,3,0.0
Carmen Perez,1,6.4,6.4,132048.0,132048.0,3,0.0
Beau Mirchoff,1,5.1,5.1,93748.0,93748.0,1,0.0
Roger Jackson,2,6.35,7.2,160276.5,222018.0,2,4.0
Kelly Rutherford,1,5.5,5.5,98535.0,98535.0,2,0.0
Wendy Crewson,2,6.65,7.3,24707.5,48806.0,5,5.0
Nadine Velazquez,5,6.5,7.3,98967.2,264047.0,5,9.0
Eric Schweig,2,7.0,7.8,63912.5,113068.0,8,18.0
Terry Kinney,3,6.833333333333333,7.8,63742.666666666664,113068.0,6,20.0
Curtis Armstrong,7,6.328571428571428,7.7,37724.42857142857,110394.0,11,26.0
Jason Douglas,1,8.1,8.1,656640.0,656640.0,2,0.0
Powers Boothe,5,6.88,8.1,170271.2,656640.0,9,20.0
Jane Curtin,1,7.1,7.1,166194.0,166194.0,2,0.0
Susan Ward,2,5.25,5.9,56556.5,109445.0,6,1.0
Jay O. Sanders,1,8.0,8.0,113472.0,113472.0,3,0.0
Sally Kirkland,4,7.074999999999999,8.1,29569.0,113472.0,5,29.0
Cheryl Penland,1,8.0,8.0,113472.0,113472.0,3,0.0
Marisol Nichols,1,4.6,4.6,31968.0,31968.0,2,0.0
Nia Long,14,6.114285714285714,7.4,30741.428571428572,74626.0,11,21.0
Matthew Perry,5,6.0,6.7,62747.0,146899.0,7,10.0
Kate Upton,2,5.55,6.0,64982.5,104481.0,2,2.0
David Thornton,2,4.8,6.0,58813.0,104481.0,2,12.0
Andrew Fiscella,3,5.633333333333333,6.0,53009.0,75345.0,5,1.0
Shantel VanSanten,2,5.0,5.2,38160.5,75345.0,4,5.0
Krista Allen,2,5.800000000000001,6.4,50443.5,75345.0,4,4.0
Joaquim de Almeida,3,5.666666666666667,6.4,29900.333333333332,86902.0,9,15.0
Sam Jaeger,1,6.4,6.4,86902.0,86902.0,4,0.0
Mario Lopez,1,6.4,6.4,147317.0,147317.0,2,0.0
Lino Facioli,1,6.4,6.4,147317.0,147317.0,2,0.0
Pink,1,6.4,6.4,147317.0,147317.0,2,0.0
Nick Cannon,4,5.725,7.0,26793.5,38142.0,8,4.0
Michael Jai White,10,5.209999999999999,6.5,15339.7,52805.0,10,18.0
Margarita Levieva,1,7.3,7.3,173848.0,173848.0,3,0.0
Aidan Quinn,12,6.658333333333334,7.7,43298.166666666664,210548.0,13,12.0
Lindsay Sloane,3,6.366666666666667,6.9,179292.33333333334,353442.0,3,14.0
Paul Scheer,1,5.9,5.9,20615.0,20615.0,5,0.0
Jonathan Morgan Heit,1,5.9,5.9,20615.0,20615.0,5,0.0
Jonathan Brewer,1,7.8,7.8,236000.0,236000.0,4,0.0
Dalia Hernández,1,7.8,7.8,236000.0,236000.0,4,0.0
Rudy Youngblood,2,5.7,7.8,118066.5,236000.0,5,9.0
Topher Grace,6,5.916666666666667,6.4,47945.333333333336,171418.0,7,10.0
Roscoe Lee Browne,3,6.333333333333333,6.8,38337.333333333336,94435.0,6,26.0
Debra Winger,2,6.4,6.9,20135.0,32370.0,6,17.0
Ebon Moss-Bachrach,2,6.5,6.8,57757.5,114321.0,3,3.0
Deneen Tyler,1,6.5,6.5,87447.0,87447.0,3,0.0
Joy Bryant,1,6.5,6.5,87447.0,87447.0,3,0.0
Gena Rowlands,6,6.966666666666666,8.0,97354.5,396396.0,10,38.0
Busy Philipps,5,6.0600000000000005,7.1,65895.4,98794.0,5,11.0
Beau Garrett,1,5.8,5.8,54421.0,54421.0,2,0.0
Johnny Cannizzaro,1,6.9,6.9,25465.0,25465.0,4,0.0
Scott Vance,1,6.9,6.9,25465.0,25465.0,4,0.0
Steve Schirripa,1,6.9,6.9,25465.0,25465.0,4,0.0
Lorraine Bracco,2,6.1,6.2,36046.5,54650.0,6,3.0
José Wilker,1,6.0,6.0,17443.0,17443.0,3,0.0
Sean Connery,1,6.0,6.0,17443.0,17443.0,3,0.0
Ian Whyte,2,3.7,4.7,74620.0,92789.0,6,2.0
Sam Trammell,4,5.8,7.8,91797.0,249688.0,7,16.0
Johnny Lewis,3,5.066666666666666,6.6,52891.0,92789.0,8,3.0
Macaulay Culkin,6,6.55,7.5,111601.33333333333,311075.0,8,14.0
Jonathan Hyde,1,5.2,5.2,49612.0,49612.0,2,0.0
John Larroquette,2,5.25,5.3,25794.5,49612.0,4,6.0
Nelson Ascencio,1,7.0,7.0,192462.0,192462.0,3,0.0
Jeremy Owen,1,7.0,7.0,192462.0,192462.0,3,0.0
Bobby Lee,1,7.0,7.0,192462.0,192462.0,3,0.0
Julene Renee,1,5.8,5.8,30394.0,30394.0,2,0.0
Tom Virtue,1,5.8,5.8,30394.0,30394.0,2,0.0
Shenae Grimes-Beech,2,6.15,6.2,57426.5,104119.0,5,2.0
Aimee Teegarden,3,6.766666666666666,8.7,53189.0,104119.0,5,0.0
Anthony Heald,2,7.55,8.6,496015.5,887467.0,5,8.0
Nat Faxon,2,5.9,6.7,70006.0,84382.0,2,7.0
Jesse James,1,4.7,4.7,10132.0,10132.0,2,0.0
Emma Bell,2,6.050000000000001,6.2,43706.0,83788.0,4,4.0
Jacqueline MacInnes Wood,1,5.9,5.9,83788.0,83788.0,1,0.0
Angie Dickinson,3,7.233333333333334,7.4,44495.333333333336,95860.0,5,33.0
Jimmy Fallon,4,5.575,6.9,28523.5,55665.0,9,4.0
KaDee Strickland,2,6.95,7.7,21492.5,36223.0,5,0.0
Ione Skye,2,6.65,7.1,23993.0,36223.0,5,19.0
Bruce Dinsmore,1,7.4,7.4,8495.0,8495.0,3,
Melissa Altro,1,7.4,7.4,8495.0,8495.0,3,
Daniel Brochu,1,7.4,7.4,8495.0,8495.0,3,
Shaun Weiss,2,6.050000000000001,6.4,47350.5,50199.0,4,16.0
Thomas Horn,1,6.9,6.9,81298.0,81298.0,3,0.0
Stephen Henderson,2,6.9,6.9,42438.5,81298.0,3,2.0
Noah Bean,1,6.5,6.5,58871.0,58871.0,3,0.0
Patti D'Arbanville,1,6.5,6.5,58871.0,58871.0,3,0.0
Vanessa Aspillaga,1,6.5,6.5,58871.0,58871.0,3,0.0
Anne Archer,4,5.7,6.9,21541.75,55101.0,7,24.0
Jesse L. Martin,2,6.35,7.0,24080.5,41685.0,5,7.0
David Fine,2,6.95,7.0,29165.0,41685.0,3,10.0
Angela Bettis,1,5.1,5.1,12093.0,12093.0,4,0.0
Jimmy Smits,2,6.15,7.2,10910.0,12093.0,5,9.0
Valerie Perri,1,5.3,5.3,10446.0,10446.0,1,0.0
Carlease Burke,1,5.3,5.3,10446.0,10446.0,1,0.0
Marco Hofschneider,1,4.4,4.4,26051.0,26051.0,3,0.0
Justin Chambers,2,5.4,6.1,26662.5,40469.0,6,7.0
Catherine Deneuve,7,6.757142857142857,8.0,27695.0,79330.0,10,40.0
Andrea Frankle,1,5.7,5.7,37412.0,37412.0,2,0.0
William Ragsdale,1,5.7,5.7,37412.0,37412.0,2,0.0
David Proval,2,7.050000000000001,7.4,33901.5,67797.0,6,42.0
Cliff Robertson,3,6.266666666666666,7.1,6865.333333333333,13830.0,6,26.0
Lillo Brancato,1,6.1,6.1,13830.0,13830.0,2,0.0
Jesse Borrego,2,7.2,8.0,49839.5,76498.0,4,18.0
Callum Blue,2,6.25,6.4,43616.0,76498.0,6,2.0
Jaleel White,1,6.2,6.2,11156.0,11156.0,7,0.0
John Doman,5,6.92,8.0,109535.0,338415.0,10,14.0
Steven Weber,2,6.6,7.3,9439.0,11232.0,3,0.0
Mira Sorvino,5,5.9399999999999995,6.6,13401.4,31227.0,6,14.0
Dane Cook,6,5.733333333333333,6.8,44806.0,76467.0,5,4.0
Bobbie Phillips,1,4.6,4.6,49874.0,49874.0,1,0.0
Elizabeth Berkley,4,5.775,6.8,28465.25,49874.0,7,6.0
Lauren Lee Smith,1,5.1,5.1,27305.0,27305.0,4,0.0
Geraldine Chaplin,5,7.08,8.0,72092.2,145270.0,5,47.0
Oaklee Pendergast,1,7.6,7.6,145270.0,145270.0,2,0.0
Isabelle Adjani,3,5.866666666666667,6.9,8005.333333333333,11031.0,9,18.0
Carol Kane,6,6.183333333333334,8.1,89449.33333333333,294163.0,9,27.0
James Gammon,3,6.3,6.8,49813.0,79877.0,8,8.0
Richard Epcar,1,5.9,5.9,17365.0,17365.0,4,0.0
Patricia Heaton,2,5.65,5.9,13924.0,17365.0,4,22.0
Mathieu Kassovitz,3,7.266666666666666,8.4,188956.33333333334,534262.0,7,1.0
Isabelle Nanty,2,7.7,8.4,279350.0,534262.0,4,8.0
Riley Smith,4,5.925000000000001,6.9,25266.5,43764.0,12,2.0
Bob Saget,1,4.8,4.8,17722.0,17722.0,4,0.0
Mary-Kate Olsen,3,5.8,7.0,36392.666666666664,64190.0,6,7.0
Andrew Daly,2,6.3,6.5,77985.5,140740.0,4,4.0
Jonathan Jackson,2,6.5,6.7,14198.0,17983.0,4,3.0
Jeffrey Combs,3,5.066666666666666,6.3,24199.0,45317.0,5,6.0
Jason Robards,5,6.419999999999999,7.7,40576.2,178731.0,8,23.0
Eddie Rouse,2,7.15,7.5,63839.0,121432.0,6,9.0
Tim Guinee,4,6.625,8.2,13262.5,29967.0,8,21.0
Bridgette Wilson-Sampras,6,5.6499999999999995,6.4,28775.5,81783.0,10,10.0
John Aylward,3,5.7,6.5,44496.0,93272.0,8,17.0
Matt Ross,2,6.15,6.5,12803.0,15130.0,3,7.0
Troy Garity,1,7.3,7.3,190132.0,190132.0,3,0.0
John Gatins,1,5.9,5.9,30842.0,30842.0,2,0.0
Lou Saliba,1,5.9,5.9,30842.0,30842.0,2,0.0
Greg Collins,2,6.35,6.8,21537.5,30842.0,2,4.0
Kelly Ripa,1,4.4,4.4,2458.0,2458.0,5,0.0
Jasmine Trinca,1,5.8,5.8,28429.0,28429.0,5,0.0
Ashley Walters,1,5.1,5.1,20201.0,20201.0,4,0.0
Sarah Roemer,4,6.725,8.1,141968.25,186984.0,5,3.0
Aaron Yoo,6,6.449999999999999,7.0,81872.66666666667,186984.0,7,8.0
Ljubomir Kerekes,1,6.9,6.9,22010.0,22010.0,6,0.0
James Brolin,5,5.84,6.9,15510.0,22010.0,9,13.0
Zan Marolt,1,6.9,6.9,22010.0,22010.0,6,0.0
John Mahoney,2,6.699999999999999,7.3,39711.5,65474.0,4,2.0
Andy Lau,5,6.94,7.6,31354.0,92295.0,9,19.0
Takeshi Kaneshiro,3,7.366666666666667,7.6,50695.333333333336,92295.0,6,4.0
Kuno Becker,2,6.4,6.8,27120.5,50919.0,5,0.0
Kang-ho Song,3,7.1000000000000005,7.3,92170.33333333333,181472.0,8,7.0
François Cluzet,5,6.960000000000001,7.2,8221.6,18395.0,10,21.0
Anushka Shetty,1,8.4,8.4,62756.0,62756.0,5,0.0
Tamannaah Bhatia,1,8.4,8.4,62756.0,62756.0,5,0.0
Prabhas,1,8.4,8.4,62756.0,62756.0,5,0.0
Michelle Nolden,2,6.55,7.1,57647.0,114925.0,5,5.0
Arliss Howard,1,7.1,7.1,114925.0,114925.0,4,0.0
Brooklynn Proulx,1,7.1,7.1,114925.0,114925.0,4,0.0
Colin Ferguson,2,6.75,7.9,35985.5,39559.0,4,0.0
Atticus Shaffer,3,5.533333333333334,7.0,52750.333333333336,73886.0,9,3.0
Sean Maher,1,8.0,8.0,242599.0,242599.0,4,0.0
Michael Hitchcock,1,8.0,8.0,242599.0,242599.0,4,0.0
Robert Vaughn,2,5.050000000000001,5.2,30666.5,49934.0,5,18.0
Oscar Gale,1,6.4,6.4,46480.0,46480.0,2,0.0
Wei Zhao,2,7.35,7.4,46908.5,56923.0,7,7.0
Courtney Gains,1,6.1,6.1,83786.0,83786.0,2,0.0
Eric Winter,2,6.55,6.6,138791.5,163665.0,3,1.0
Max Casella,2,6.550000000000001,7.4,57021.5,96233.0,3,17.0
Phil Hartman,2,6.5,7.3,18730.0,19650.0,6,9.0
Emily Osment,2,4.65,5.1,38322.5,44885.0,8,7.0
Hye-kyo Song,1,6.5,6.5,24557.0,24557.0,3,0.0
Elvis Tsui,1,6.5,6.5,24557.0,24557.0,3,0.0
Kristen Johnston,2,6.75,7.8,22204.0,38383.0,3,0.0
Bianca Collins,1,6.4,6.4,2169.0,2169.0,4,0.0
Jiao Xu,2,6.45,6.5,6780.0,11391.0,6,6.0
Blythe Auffarth,1,6.4,6.4,2169.0,2169.0,4,0.0
Jeff Kober,4,5.5,6.1,35881.5,49721.0,7,12.0
Daniella Alonso,4,5.675,8.1,19657.5,49721.0,5,8.0
D.B. Woodside,1,4.4,4.4,23473.0,23473.0,3,0.0
Eduardo Verástegui,3,6.133333333333333,7.4,12248.333333333334,23473.0,7,9.0
Kari Matchett,3,6.133333333333333,6.8,16815.666666666668,27052.0,7,1.0
Sonia Braga,2,6.0,6.4,10199.0,19686.0,3,18.0
Bill Nunn,3,6.0,6.1,18811.0,37611.0,7,8.0
Beth Grant,8,6.6375,8.0,99679.875,383784.0,7,25.0
Dagmara Dominczyk,5,6.0200000000000005,6.6,17457.6,34592.0,5,13.0
Matthew Glave,1,6.2,6.2,34592.0,34592.0,2,0.0
Mariah Carey,3,5.566666666666666,7.3,64441.0,86956.0,3,8.0
Jason Marsden,2,6.3,6.6,10220.5,17859.0,3,16.0
Richard Masur,1,8.2,8.2,258078.0,258078.0,3,0.0
David Clennon,2,7.5,8.2,130871.5,258078.0,5,10.0
Nolan Gerard Funk,3,5.3,6.4,64060.666666666664,125305.0,5,1.0
Ted Markland,1,6.4,6.4,9740.0,9740.0,3,0.0
Claudia Stedelin,1,6.4,6.4,9740.0,9740.0,3,0.0
Gregory Scott Cummins,1,6.4,6.4,9740.0,9740.0,3,0.0
Usher Raymond,2,3.4000000000000004,5.2,39554.0,74351.0,7,10.0
Leonor Varela,4,5.425000000000001,5.9,3643.5,5699.0,8,14.0
Harry Treadaway,2,6.9,7.3,50146.5,52908.0,5,1.0
Bruce Goodchild,1,7.1,7.1,105144.0,105144.0,1,0.0
Jeffrey W. Jenkins,1,7.1,7.1,105144.0,105144.0,1,0.0
Mike Howard,1,7.1,7.1,105144.0,105144.0,1,0.0
David Walliams,1,4.8,4.8,6691.0,6691.0,4,0.0
Ryan Cartwright,1,4.8,4.8,6691.0,6691.0,4,0.0
Nick Robinson,1,5.2,5.2,55617.0,55617.0,4,0.0
Maggie Siff,1,5.2,5.2,55617.0,55617.0,4,0.0
Phylicia Rashad,2,6.550000000000001,7.7,76530.0,146708.0,4,3.0
Owen Burke,1,7.6,7.6,280228.0,280228.0,3,0.0
Christopher James Baker,1,6.0,6.0,28109.0,28109.0,4,0.0
Anthony Simcoe,1,6.0,6.0,28109.0,28109.0,4,0.0
Alexandra Maria Lara,5,7.580000000000001,8.3,128849.8,312629.0,9,9.0
Jim Meskimen,2,8.05,8.1,307010.0,372990.0,1,8.0
Patton Oswalt,3,6.866666666666667,8.0,120240.0,241030.0,3,12.0
