Id,Label,movies_credited,degree,weighted_degree
Mark Rylance,,3,6,6
Penelope Wilton,,4,8,8
Rafe Spall,,5,10,10
Lukas Haas,,5,10,10
Ben Schwartz,,2,4,4
Snoop Dogg,,7,13,14
Stephen Root,Stephen Root,20,37,40
Andy Richter,,3,6,6
Annet Mahendru,,1,2,2
Matt Damon,Matt Damon,38,72,75
T.I.,,3,6,6
Sandra Ellis Lafferty,,4,8,8
April Winchell,,3,2,6
Jim Parsons,,4,4,8
Matt Jones,,4,4,8
Lisa Ann Walter,,5,10,10
Rick Gonzalez,,4,8,8
Henry Rollins,,3,6,6
Jordi Mollà,,9,15,18
Amy Sedaris,,7,14,14
Constance Marie,,2,4,4
August Diehl,,1,2,2
Emma Watson,,5,10,10
Logan Lerman,Logan Lerman,12,24,24
Mackenzie Crook,,4,8,8
Toby Jones,Toby Jones,11,22,22
Tony Curran,Tony Curran,11,22,22
Eddie Baroo,,1,2,2
Alfre Woodard,Alfre Woodard,14,28,28
D.B. Sweeney,,5,8,10
Della Reese,,2,4,4
Dave Legeno,,4,8,8
Ralph Ineson,,3,6,6
Will Ferrell,Will Ferrell,32,60,64
Verne Troyer,,5,9,10
Stephanie Szostak,,5,10,10
Alfred Enoch,,1,2,2
Jürgen Prochnow,,5,10,10
Seth Gabel,,1,2,2
Jeffrey Garcia,,1,2,2
Miguel Ferrer,,3,6,6
Rachel Crow,,1,2,2
Aaron Stanford,,4,8,8
Bruce Davison,,5,9,10
Paul Anderson,,2,4,4
Alexa Davalos,,4,6,8
Marshall Bell,,4,6,8
Rachel Ticotin,,2,2,4
Ronny Cox,,6,9,12
Clive Russell,,3,6,6
Vladimir Kulich,,1,2,2
Scott Glenn,Scott Glenn,17,34,34
Stacy Keach,,7,14,14
John Glover,,1,2,2
Michael Gough,,5,10,10
Clint Howard,,7,14,14
Molly Shannon,,6,12,12
T.J. Thyne,,4,8,8
Dougray Scott,,8,16,16
Bob Gunton,,9,18,18
Karen Allen,,5,10,10
Mary Elizabeth Mastrantonio,,6,12,12
Ioan Gruffudd,,6,12,12
Suraj Sharma,,2,4,4
Tabu,,2,4,4
Matt Long,,2,4,4
Peter Fonda,,4,8,8
Ato Essandoh,,3,6,6
Riz Ahmed,,2,4,4
Demi Moore,Demi Moore,16,30,32
Justin Theroux,,6,12,12
Melanie Griffith,,6,12,12
Nathan Lane,Nathan Lane,11,22,22
Christina Cox,,1,2,2
Abbie Cornish,,8,14,16
Jennifer Ehle,,9,16,18
Kick Gurry,,1,2,2
Nicholas Elia,,1,2,2
Scott Porter,,8,16,16
Domenick Lombardozzi,,1,2,2
Shelley Conn,,1,2,2
Teyonah Parris,,1,2,2
Marc Blucas,,8,13,16
Zoë Bell,,3,6,6
Hayden Christensen,Hayden Christensen,11,20,22
James Coburn,,8,16,16
Rila Fukushima,,1,2,2
Tao Okamoto,,1,2,2
Ian McDiarmid,,3,6,6
Alain Delon,,1,2,2
Santiago Segura,,1,2,2
Vanessa Hessler,,1,2,2
Noah Emmerich,,9,18,18
Roger Willie,,2,3,4
Danny Woodburn,,6,10,12
Jeremy Howard,,2,2,4
Noel Fisher,,5,8,10
Amy Warren,,1,2,2
Basher Savage,,1,2,2
Phaldut Sharma,,1,2,2
Grant Heslov,,2,4,4
Jamie Renée Smith,,1,2,2
Stephen Amell,,1,2,2
Reg E. Cathey,,8,14,16
Tim Blake Nelson,Tim Blake Nelson,11,20,22
Tim Heidecker,,2,2,4
Archie Panjabi,,6,12,12
Joe Don Baker,,5,10,10
Vincent Schiavelli,,5,9,10
Adam Baldwin,,6,12,12
Julia Roberts,Julia Roberts,27,50,54
Mini Anden,,2,4,4
Stephanie March,,1,2,2
Mekhi Phifer,Mekhi Phifer,13,20,26
Theo James,,4,6,8
